etykieta_semantyczna,original_symbol,original_name
skojarzenia_miejsca_gzm_2_kategoria,P15_2_TXT_1,"Skojarzenia z instytucjami/miejscami GZM 2 (kategoria)"
skojarzenia_miejsca_gzm_3_kategoria,P15_3_TXT_1,"Skojarzenia z instytucjami/miejscami GZM 3 (kategoria)"
skojarzenia_miejsca_gzm_3_szczegóły_2,P15_3_TXT_2,"Szczegóły skojarzeń z instytucjami/miejscami GZM 3.2"
skojarzenia_miejsca_gzm_4_kategoria,P15_4_TXT_1,"Skojarzenia z instytucjami/miejscami GZM 4 (kategoria)"
skojarzenia_miejsca_gzm_5_kategoria,P15_5_TXT_1,"Skojarzenia z instytucjami/miejscami GZM 5 (kategoria)"
skojarzenia_miejsca_gzm_5_szczegóły_2,P15_5_TXT_2,"Szczegóły skojarzeń z instytucjami/miejscami GZM 5.2"
informacja_prasa_drukowana,P16_1,"Źródło informacji o kulturze: prasa drukowana"
informacja_plakaty,P16_2,"Źródło informacji o kulturze: plakaty/ogłoszenia/reklamy"
informacja_portale_lokalne,P16_3,"Źródło informacji o kulturze: lokalne portale/strony"
informacja_portale_ogólnopolskie,P16_4,"Źródło informacji o kulturze: ogólnopolskie portale/strony"
informacja_social_media_instytucje,P16_5,"Źródło informacji o kulturze: profile instytucji w mediach społecznościowych"
informacja_social_media_twórcy,P16_6,"Źródło informacji o kulturze: profile twórców w mediach społecznościowych"
informacja_social_media_inne,P16_7,"Źródło informacji o kulturze: inne profile w mediach społecznościowych"
informacja_znajomi_rodzina,P16_8,"Źródło informacji o kulturze: od znajomych/rodziny"
informacja_radio,P16_9,"Źródło informacji o kulturze: radio"
informacja_telewizja,P16_10,"Źródło informacji o kulturze: telewizja"
informacja_strony_instytucji,P16_11,"Źródło informacji o kulturze: strony internetowe instytucji kultury"
informacja_strony_ogólne,P16_12,"Źródło informacji o kulturze: ogólnotematyczne strony internetowe"
informacja_inne_źródła,P16_13,"Źródło informacji o kulturze: inne źródła"
informacja_żadne_źródła,P16_14,"Źródło informacji o kulturze: żadne z powyższych"
preferowane_miejsce_dom,P17_1,"Preferowane miejsce wydarzeń: w domu"
preferowane_miejsce_instytucja_kultury,P17_2,"Preferowane miejsce wydarzeń: w siedzibie instytucji kultury"
preferowane_miejsce_przestrzeń_publiczna,P17_3,"Preferowane miejsce wydarzeń: w przestrzeni publicznej"
preferowane_miejsce_przestrzeń_tymczasowa,P17_4,"Preferowane miejsce wydarzeń: w tymczasowo zaaranżowanej przestrzeni"
preferowane_miejsce_stadion,P17_5,"Preferowane miejsce wydarzeń: na stadionie"
preferowane_miejsce_pub_klub,P17_6,"Preferowane miejsce wydarzeń: w pubie/klubie/restauracji"
preferowane_miejsce_inne,P17_7,"Preferowane miejsce wydarzeń: inne miejsce"
preferowane_miejsce_żadne,P17_8,"Preferowane miejsce wydarzeń: żadne z powyższych"
miejsce_kultury_bytom,rP18_1,"Miejsce kulturalne: Bytom"
miejsce_kultury_chorzów,rP18_2,"Miejsce kulturalne: Chorzów"
miejsce_kultury_dąbrowa_górnicza,rP18_3,"Miejsce kulturalne: Dąbrowa Górnicza"
miejsce_kultury_gliwice,rP18_4,"Miejsce kulturalne: Gliwice"
miejsce_kultury_katowice,rP18_5,"Miejsce kulturalne: Katowice"
miejsce_kultury_mysłowice,rP18_6,"Miejsce kulturalne: Mysłowice"
miejsce_kultury_piekary_śląskie,rP18_7,"Miejsce kulturalne: Piekary Śląskie"
miejsce_kultury_ruda_śląska,rP18_8,"Miejsce kulturalne: Ruda Śląska"
miejsce_kultury_siemianowice_śląskie,rP18_9,"Miejsce kulturalne: Siemianowice Śląskie"
miejsce_kultury_sosnowiec,rP18_10,"Miejsce kulturalne: Sosnowiec"
miejsce_kultury_świętochłowice,rP18_11,"Miejsce kulturalne: Świętochłowice"
miejsce_kultury_tychy,rP18_12,"Miejsce kulturalne: Tychy"
miejsce_kultury_zabrze,rP18_13,"Miejsce kulturalne: Zabrze"
miejsce_kultury_inne,rP18_14,"Miejsce kulturalne: Innego"
miejsce_kultury_nie_pamiętam,rP18_15,"Miejsce kulturalne: Nie pamiętam"
miejsce_kultury_żadne,rP18_16,"Miejsce kulturalne: Żadne z powyższych"
miejsce_kultury_inne_tekst,P18_TXT,"Miejsce kulturalne: Inne (tekst)"
miejsce_kultury_inne_kategoria,rP18_TXT_1,"Miejsce kulturalne: Inne (kategoria)"
miejsce_kultury_inne_szczegóły_2,rP18_TXT_2,"Szczegóły innego miejsca kulturalnego 2"
miejsce_kultury_inne_szczegóły_3,rP18_TXT_3,"Szczegóły innego miejsca kulturalnego 3"
wydarzenie_dzielnicowe,P19_1,"Preferowany zasięg wydarzenia: dzielnicowe"
wydarzenie_miejskie,P19_2,"Preferowany zasięg wydarzenia: miejskie"
wydarzenie_regionalne,P19_3,"Preferowany zasięg wydarzenia: regionalne"
wydarzenie_ogólnopolskie,P19_4,"Preferowany zasięg wydarzenia: ogólnopolskie"
wydarzenie_międzynarodowe,P19_5,"Preferowany zasięg wydarzenia: międzynarodowe"
wydarzenie_niezależne,P19_6,"Preferowany zasięg wydarzenia: niezależne od administracji"
wydarzenie_brak_opinii,P19_7,"Preferowany zasięg wydarzenia: trudno powiedzieć"
wydatki_na_kulturę_kwota,rP20,"Miesięczne wydatki na kulturę"
wydatki_na_kulturę_kategoria,rrP20,"Miesięczne wydatki na kulturę (kategoria)"
uczestnictwo_poza_gzm_czas,P21,"Korzystanie z oferty kulturalnej poza GZM"
miejsce_poza_gzm_tekst,P21a_TXT,"Lokalizacja poza GZM"
miejsce_poza_gzm_kategoria,P21a_TXT_1,"Kategoria lokalizacji poza GZM"
miejsce_poza_gzm_szczegóły_2,P21a_TXT_2,"Szczegóły lokalizacji poza GZM 2"
miejsce_poza_gzm_szczegóły_3,P21a_TXT_3,"Szczegóły lokalizacji poza GZM 3"
miejsce_poza_gzm_szczegóły_4,P21a_TXT_4,"Szczegóły lokalizacji poza GZM 4"
miejsce_poza_gzm_szczegóły_5,P21a_TXT_5,"Szczegóły lokalizacji poza GZM 5"
aktywność_poza_gzm_tekst,P21b_TXT,"Aktywność poza GZM"
aktywność_poza_gzm_kategoria,P21b_TXT_1,"Kategoria aktywności poza GZM"
aktywność_poza_gzm_szczegóły_2,P21b_TXT_2,"Szczegóły aktywności poza GZM 2"
aktywność_poza_gzm_szczegóły_3,P21b_TXT_3,"Szczegóły aktywności poza GZM 3"
aktywność_poza_gzm_szczegóły_4,P21b_TXT_4,"Szczegóły aktywności poza GZM 4"
aktywność_poza_gzm_szczegóły_5,P21b_TXT_5,"Szczegóły aktywności poza GZM 5"
kultura_domowa_tv,P22_1,"Uczestnictwo w kulturze w domu: oglądanie programów w TV"
kultura_domowa_radio,P22_2,"Uczestnictwo w kulturze w domu: słuchanie audycji w radiu"
kultura_domowa_podcasty,P22_3,"Uczestnictwo w kulturze w domu: słuchanie podcastów"
kultura_domowa_internet,P22_4,"Uczestnictwo w kulturze w domu: oglądanie/czytanie treści w Internecie"
kultura_domowa_prasa,P22_5,"Uczestnictwo w kulturze w domu: czytanie prasy drukowanej"
kultura_domowa_książki,P22_6,"Uczestnictwo w kulturze w domu: czytanie książek dla przyjemności"
kultura_domowa_inne,P22_7,"Uczestnictwo w kulturze w domu: inne aktywności"
kultura_domowa_żadne,P22_8,"Uczestnictwo w kulturze w domu: żadne z powyższych"
kontakt_z_artystą_lokalnym,P23,"Zetknięcie się z twórczością lokalnego artysty z GZM"
nazwa_artysty_lokalnego,P23a_TXT,"Nazwisko lokalnego artysty"
kategoria_artysty_lokalnego,P23a_TXT_1,"Kategoria lokalnego artysty"
szczegóły_artysty_lokalnego_2,P23a_TXT_2,"Szczegóły lokalnego artysty 2"
szczegóły_artysty_lokalnego_3,P23a_TXT_3,"Szczegóły lokalnego artysty 3"
osoba_wpływająca_na_wybory_kulturalne_1,P24_1_TXT,"Osoba/instytucja wpływająca na wybory kulturalne 1"
osoba_wpływająca_na_wybory_kulturalne_2,P24_2_TXT,"Osoba/instytucja wpływająca na wybory kulturalne 2"
osoba_wpływająca_na_wybory_kulturalne_3,P24_3_TXT,"Osoba/instytucja wpływająca na wybory kulturalne 3"
osoba_wpływająca_na_wybory_kulturalne_4,P24_4_TXT,"Osoba/instytucja wpływająca na wybory kulturalne 4"
osoba_wpływająca_na_wybory_kulturalne_5,P24_5_TXT,"Osoba/instytucja wpływająca na wybory kulturalne 5"
kategoria_osoby_wpływającej_1,P24_1_TXT_1,"Kategoria osoby/instytucji wpływającej 1"
kategoria_osoby_wpływającej_2,P24_2_TXT_1,"Kategoria osoby/instytucji wpływającej 2"
kategoria_osoby_wpływającej_3,P24_3_TXT_1,"Kategoria osoby/instytucji wpływającej 3"
kategoria_osoby_wpływającej_4,P24_4_TXT_1,"Kategoria osoby/instytucji wpływającej 4"
kategoria_osoby_wpływającej_5,P24_5_TXT_1,"Kategoria osoby/instytucji wpływającej 5"
częstotliwość_kultura_online,P25,"Częstotliwość korzystania z kultury przez internet"
częstotliwość_kultura_online_top3,T3B_P25,"Częstotliwość korzystania z kultury przez internet (Top 3 Box)"
kultura_online_youtube,P26_1,"Kultura online: YouTube"
kultura_online_facebook,P26_2,"Kultura online: Facebook"
kultura_online_instagram,P26_3,"Kultura online: Instagram"
kultura_online_twitter,P26_4,"Kultura online: Twitter/X"
kultura_online_strony_www,P26_5,"Kultura online: strony internetowe"
kultura_online_inne_źródła,P26_6,"Kultura online: inne źródła"
youtube_profile_instytucji,rP26a_1_1,"YouTube: Profile instytucji kultury"
youtube_profile_twórców,rP26a_1_2,"YouTube: Profile twórców"
youtube_profile_instytucji_miejskich,rP26a_1_3,"YouTube: Profile instytucji miejskich/regionalnych"
youtube_żadne_profile,rP26a_1_4,"YouTube: Żadne z powyższych"
facebook_profile_instytucji,rP26a_2_1,"Facebook: Profile instytucji kultury"
facebook_profile_twórców,rP26a_2_2,"Facebook: Profile twórców"
facebook_profile_instytucji_miejskich,rP26a_2_3,"Facebook: Profile instytucji miejskich/regionalnych"
facebook_żadne_profile,rP26a_2_4,"Facebook: Żadne z powyższych"
instagram_profile_instytucji,rP26a_3_1,"Instagram: Profile instytucji kultury"
instagram_profile_twórców,rP26a_3_2,"Instagram: Profile twórców"
instagram_profile_instytucji_miejskich,rP26a_3_3,"Instagram: Profile instytucji miejskich/regionalnych"
instagram_żadne_profile,rP26a_3_4,"Instagram: Żadne z powyższych"
twitter_profile_instytucji,rP26a_4_1,"Twitter/X: Profile instytucji kultury"
twitter_profile_twórców,rP26a_4_2,"Twitter/X: Profile twórców"
twitter_profile_instytucji_miejskich,rP26a_4_3,"Twitter/X: Profile instytucji miejskich/regionalnych"
twitter_żadne_profile,rP26a_4_4,"Twitter/X: Żadne z powyższych"
strony_www_profile_instytucji,rP26a_5_1,"Strony internetowe: Profile instytucji kultury"
strony_www_profile_twórców,rP26a_5_2,"Strony internetowe: Profile twórców"
strony_www_profile_instytucji_miejskich,rP26a_5_3,"Strony internetowe: Profile instytucji miejskich/regionalnych"
strony_www_żadne_profile,rP26a_5_4,"Strony internetowe: Żadne z powyższych"
znajomość_twórcy_cyfrowego_1,P27_1_TXT,"Znajomość twórcy kultury cyfrowej 1"
znajomość_twórcy_cyfrowego_2,P27_2_TXT,"Znajomość twórcy kultury cyfrowej 2"
znajomość_twórcy_cyfrowego_3,P27_3_TXT,"Znajomość twórcy kultury cyfrowej 3"
znajomość_twórcy_cyfrowego_4,P27_4_TXT,"Znajomość twórcy kultury cyfrowej 4"
znajomość_twórcy_cyfrowego_5,P27_5_TXT,"Znajomość twórcy kultury cyfrowej 5"
kategoria_twórcy_cyfrowego_1,P27_1_TXT_1,"Kategoria twórcy kultury cyfrowej 1"
kategoria_twórcy_cyfrowego_2,P27_2_TXT_1,"Kategoria twórcy kultury cyfrowej 2"
kategoria_twórcy_cyfrowego_3,P27_3_TXT_1,"Kategoria twórcy kultury cyfrowej 3"
kategoria_twórcy_cyfrowego_4,P27_4_TXT_1,"Kategoria twórcy kultury cyfrowej 4"
kategoria_twórcy_cyfrowego_5,P27_5_TXT_1,"Kategoria twórcy kultury cyfrowej 5"
twórczość_gra_na_instrumencie,rP28_1,"Aktywność twórcza: gram na instrumencie"
twórczość_pisanie_tekstów,rP28_2,"Aktywność twórcza: piszę teksty"
twórczość_fotografia,rP28_3,"Aktywność twórcza: robię zdjęcia"
twórczość_rysowanie_malowanie,rP28_4,"Aktywność twórcza: rysuję lub maluję"
twórczość_szycie_haftowanie,rP28_5,"Aktywność twórcza: szyję/haftuję"
twórczość_śpiew,rP28_6,"Aktywność twórcza: śpiewam"
twórczość_komponowanie,rP28_7,"Aktywność twórcza: komponuję muzykę"
twórczość_inna,rP28_8,"Aktywność twórcza: inna twórczość"
twórczość_żadna,rP28_9,"Aktywność twórcza: żadne z powyższych"
twórczość_inna_tekst,P28_TXT,"Inna aktywność twórcza (tekst)"
twórczość_inna_kategoria,rP28_TXT_1,"Inna aktywność twórcza (kategoria)"
opinia_kultura_dla_wszystkich,P29_1,"Opinia: działalność kulturalna jest dla wszystkich"
opinia_kultura_bycie_na_bieżąco,P29_2,"Opinia: wypada być na bieżąco z kulturą"
opinia_kultura_relacje_międzyludzkie,P29_3,"Opinia: dzięki kulturze mogę nawiązywać relacje"
opinia_kultura_przeżycia,P29_4,"Opinia: udział w wydarzeniach kulturalnych zapewnia przeżycia"
opinia_kultura_nowe_miejsca,P29_5,"Opinia: lubię poznawać nowe miejsca związane z kulturą"
opinia_kultura_atrakcyjność_regionu,P29_6,"Opinia: działalność kulturalna podnosi atrakcyjność regionu"
opinia_kultura_przynależność,P29_7,"Opinia: uczestnictwo w kulturze daje poczucie przynależności"
opinia_kultura_samorealizacja,P29_8,"Opinia: uczestnictwo w kulturze pozwala realizować się"
opinia_kultura_sens_życia,P29_9,"Opinia: dzięki kulturze życie ma sens"
opinia_kultura_prestiż,P29_10,"Opinia: uczestnictwo w kulturze daje poczucie prestiżu"
opinia_kultura_przyjemność,P29_11,"Opinia: konsumpcja kultury sprawia przyjemność"
opinia_kultura_uboższe_życie,P29_12,"Opinia: bez dostępu do kultury życie byłoby uboższe"
opinia_ważniejsze_rzeczy_niż_kultura,P29_13,"Opinia: jest wiele ważniejszych rzeczy niż kultura"
opinia_wydatki_publiczne_na_kulturę,P29_14,"Opinia: nakłady publiczne na kulturę powinny być mniejsze"
opinia_kultura_nieistotne_tematy,P29_15,"Opinia: w kulturze poruszane są mało istotne dla mnie tematy"
opinia_kultura_dla_wszystkich_top3,T3B_P29_1,"Opinia: działalność kulturalna jest dla wszystkich (Top 3 Box)"
opinia_kultura_bycie_na_bieżąco_top3,T3B_P29_2,"Opinia: wypada być na bieżąco z kulturą (Top 3 Box)"
opinia_kultura_relacje_międzyludzkie_top3,T3B_P29_3,"Opinia: dzięki kulturze mogę nawiązywać relacje (Top 3 Box)"
opinia_kultura_przeżycia_top3,T3B_P29_4,"Opinia: udział w wydarzeniach kulturalnych zapewnia przeżycia (Top 3 Box)"
opinia_kultura_nowe_miejsca_top3,T3B_P29_5,"Opinia: lubię poznawać nowe miejsca związane z kulturą (Top 3 Box)"
opinia_kultura_atrakcyjność_regionu_top3,T3B_P29_6,"Opinia: działalność kulturalna podnosi atrakcyjność regionu (Top 3 Box)"
opinia_kultura_przynależność_top3,T3B_P29_7,"Opinia: uczestnictwo w kulturze daje poczucie przynależności (Top 3 Box)"
opinia_kultura_samorealizacja_top3,T3B_P29_8,"Opinia: uczestnictwo w kulturze pozwala realizować się (Top 3 Box)"
opinia_kultura_sens_życia_top3,T3B_P29_9,"Opinia: dzięki kulturze życie ma sens (Top 3 Box)"
opinia_kultura_prestiż_top3,T3B_P29_10,"Opinia: uczestnictwo w kulturze daje poczucie prestiżu (Top 3 Box)"
opinia_kultura_przyjemność_top3,T3B_P29_11,"Opinia: konsumpcja kultury sprawia przyjemność (Top 3 Box)"
opinia_kultura_uboższe_życie_top3,T3B_P29_12,"Opinia: bez dostępu do kultury życie byłoby uboższe (Top 3 Box)"
opinia_ważniejsze_rzeczy_niż_kultura_top3,T3B_P29_13,"Opinia: jest wiele ważniejszych rzeczy niż kultura (Top 3 Box)"
opinia_wydatki_publiczne_na_kulturę_top3,T3B_P29_14,"Opinia: nakłady publiczne na kulturę powinny być mniejsze (Top 3 Box)"
opinia_kultura_nieistotne_tematy_top3,T3B_P29_15,"Opinia: w kulturze poruszane są mało istotne dla mnie tematy (Top 3 Box)"
wielkość_miejscowości,M1,"M1. Jaka jest wielkość miejscowości zamieszkania"
wykształcenie,rM2,"M2. Jakie ma Pan(i) wykształcenie?"
zatrudnienie_bezrobotny,M3_1,"Status zatrudnienia: bezrobotny/nie pracuję"
zatrudnienie_pracujący,M3_2,"Status zatrudnienia: jestem zatrudniony/-a"
zatrudnienie_samozatrudniony,M3_3,"Status zatrudnienia: jestem samozatrudniony/-a"
zatrudnienie_student,M3_4,"Status zatrudnienia: uczę się/studiuję"
zatrudnienie_rencista,M3_5,"Status zatrudnienia: rencist(k)a"
zatrudnienie_emeryt,M3_6,"Status zatrudnienia: emeryt(ka)"
status_zatrudnienia,M3,"Status zawodowy"
właściciel_firmy_mśp,M4,"Prowadzenie firmy sektora małych i średnich przedsiębiorstw"
praca_w_sektorze_kultury,M5,"Praca w sektorze kultury"
miejsce_wykonywania_pracy,M6,"Miejsce wykonywania pracy"
praca_w_miejscu_zamieszkania,M7,"Miejsce pracy względem miejsca zamieszkania"
sponsorowanie_kultury,M8,"Sponsorowanie działalności artystycznej na terenie GZM"
zainteresowanie_sponsorowaniem_kultury,M9,"Zainteresowanie sponsorowaniem działalności artystycznej"
przedział_wynagrodzenia,M10,"Przedział wynagrodzenia miesięcznego netto"
opieka_nad_dzieckiem,M11,"Opieka nad dzieckiem/dziećmi poniżej 13 roku życia"
opieka_nad_osobą_zależną,M12,"Opieka nad osobą wymagającą stałej opieki"
niepełnosprawność_wzrok,M13_1,"Niepełnosprawność: wzrokowa"
niepełnosprawność_słuch,M13_2,"Niepełnosprawność: słuchowa"
niepełnosprawność_ruch,M13_3,"Niepełnosprawność: ruchowa"
niepełnosprawność_inna,M13_4,"Niepełnosprawność: inny typ"
niepełnosprawność_żadna,M13_5,"Niepełnosprawność: żadna z powyższych"
transport_komunikacja_miejska,M14_1,"Transport: komunikacja miejska (autobus, tramwaj)"
transport_komunikacja_regionalna,M14_2,"Transport: komunikacja regionalna (kolej)"
transport_własny_samochód,M14_3,"Transport: własny samochód"
transport_własny_rower,M14_4,"Transport: własny rower"
transport_współdzielony,M14_5,"Transport: pojazd na minuty (rower, hulajnoga)"
transport_pieszo,M14_6,"Transport: pieszo"
transport_inny,M14_7,"Transport: inaczej"
internet_w_domu,M15_1,"Dostęp do internetu: w domu"
internet_w_pracy,M15_2,"Dostęp do internetu: w pracy"
internet_w_telefonie,M15_3,"Dostęp do internetu: w telefonie komórkowym"
